Country,Total natural resources rents % of GDP,Oil rents % of GDP,Natural gas rents % of GDP,Coal rents % of GDP,Mineral rents % of GDP,Forest rents % of GDP
Sub-Saharan Africa,9.973684816,3.452755266,0.436063504,0.600516241,3.112946478,2.371403326
Low income,13.25905374,0.87276587,0.144830461,0.151469958,6.195852865,5.894134588
Lower middle income,4.131704087,1.246093134,0.573609275,0.632901684,1.202107779,0.476992216
Upper middle income,3.906881531,1.580853015,0.488657083,0.514623726,1.142947765,0.179799942
High income,2.461376346,1.241854228,0.533447152,0.109023111,0.519700896,0.057350959
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,
,,,,,,
3.14 Contribution of natural resources to gross domestic product,,,,,,
"World Development Indicators , THE WORLD BANKLast updated date 11/13/2024",,,,,,
,,,,,,
About the Data,,,,,,
,,,,,,
Total natural resources rents (% of GDP),,,,,,
,,,,,,
Long definition,,,,,,
,,,,,,
"Total natural resources rents are the sum of oil rents, natural gas rents, coal rents (hard and soft), mineral rents, and forest rents.",,,,,,
,,,,,,
Source,,,,,,
,,,,,,
World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,,,,,,
,,,,,,
Oil rents (% of GDP),,,,,,
,,,,,,
Long definition,,,,,,
,,,,,,
Oil rents are the difference between the value of crude oil production at regional prices and total costs of production.,,,,,,
,,,,,,
Source,,,,,,
,,,,,,
World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,,,,,,
,,,,,,
Natural gas rents (% of GDP),,,,,,
,,,,,,
Long definition,,,,,,
,,,,,,
Natural gas rents are the difference between the value of natural gas production at regional prices and total costs of production.,,,,,,
,,,,,,
Source,,,,,,
,,,,,,
World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,,,,,,
,,,,,,
Coal rents (% of GDP),,,,,,
,,,,,,
Long definition,,,,,,
,,,,,,
Coal rents are the difference between the value of both hard and soft coal production at world prices and their total costs of production.,,,,,,
,,,,,,
Source,,,,,,
,,,,,,
World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,,,,,,
,,,,,,
Mineral rents (% of GDP),,,,,,
,,,,,,
Long definition,,,,,,
,,,,,,
"Mineral rents are the difference between the value of production for a stock of minerals at world prices and their total costs of production. Minerals included in the calculation are tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",,,,,,
,,,,,,
Source,,,,,,
,,,,,,
World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,,,,,,
,,,,,,
Forest rents (% of GDP),,,,,,
,,,,,,
Long definition,,,,,,
,,,,,,
Forest rents are roundwood harvest times the product of regional prices and a regional rental rate.,,,,,,
,,,,,,
Source,,,,,,
,,,,,,
World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,,,,,,
,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/3.14 for observation-level metadata, which can be downloaded in Excel.",,,,,,
